"","klasifikasi","score","text"
"394","Netral",0,"aasi  bugus  investasi"
"395","Positif",1,"aasi bagus  la   investasi  belajar  bibit"
"396","Positif",1," bermanfaat"
"397","Positif",1,"airan  banget berhari"
"398","Positif",1,"   bagus"
"399","Netral",0," la mohon bantuanya"
"400","Positif",2,"semoga bibit berkerjasama  jago biaya admin rikan rdn gratis    i jagoðÿ"
"401","Netral",0,"jos  ðÿðÿðÿ"
"402","Netral",0,"ðÿœ"
"403","Positif",3,"aasi  sei bank tanartu benk   aasi simnya  bank masuk  ram aasi bank investasi uang and  aasi  terkumbanyak  ðÿœðÿðÿµðÿðÿ emas dll"
"404","Positif",1,"investasi termudah"
"405","Positif",1," tamn  bagus    login  error"
"406","Positif",1,"bagus"
"407","Netral",0,"tis"
"408","Netral",0,"   menabung kenai ulit  verifikasi aneh "
"409","Netral",0," udah oke   mode gelang     ya"
"410","Positif",2,"tolong ude    mode gela mata  gak kuat kalo lihat mode terang"
"411","Netral",0," bagus  aibit    terdaftar  ojkdan   investor  u khawatir  deh ðÿ uang   u  khawatir  takut ilang  ajj  udah  bank yg menam  investor  bank kustodian  is the best forever bibit ðÿðÿðÿðÿ"
"412","Positif",1,"keren ayaa"
"413","Positif",1,"bagus"
"414","Negatif",-1,"bibit anjing bangkek"
"415","Negatif",-1," ngasih rating    bibit    gak  kendala ya semoga kedenya     "
"416","Positif",1," bagus  la   belajar nabung sahamðÿ"
"417","Positif",4," bayar i golinkaja tmbahin bayar i dana  saldo    dana  ðÿ ntar kasih bintang "
"418","Netral",0,"saran tolong tambahin metode ayaranyamisal kayak i ovo aana"
"419","Positif",1,"sukses "
"420","Positif",1,"klau depo cepat bangetgiliran  narik danabuset  bangetdan   berhasilapk  "
"421","Positif",1,"gimana  bibit  investasi  rb  taugi     rb taengembalian uang     rb  giliran  email aduan dana nya       hubungi  lag   hubungi alasan nya suruh email   cukuya  rugikan "
"422","Netral",0,"good"
"423","Netral",0,"bayar i jago status jago udah terbayar  bibit  menunggu nunggu seharian gk  keian"
"424","Netral",0,"semoga berkah aminnnn"
"425","Positif",1,"hebat"
"426","Positif",1,"bibit emang todi terbiasa nabung  dana iun pakai kode referal cuanbarengrizki   dacashbackðÿšðÿš"
"427","Positif",1," menjanjikan jangka ang"
"428","Netral",0,"bagussss"
"429","Positif",1,"pencairan dana       membutuhkan nya"
"430","Positif",1,"aasi investasi terbaik  dijamin  ojk"
"431","Positif",3,"giliran tonominal  sehari langsung masuk reksadananya tailiran dana  butuh berharihari  masuk kirain cairin dananya  cesei toternyata    hadeh  "
"432","Positif",2,"bagus banget  aasinya"
"433","Netral",0,"mantadah simpel"
"434","Positif",4,"aasinya  membantu  memanage uang   fitur autodebit  gaakan luuat menabung investasi setialannya uiuxnya  nyaman bangett     investasi reksadana saranku i aasi inii mantab cobain gih"
"435","Positif",4,"    bibit  alaman      nyaman menggunakannya  fitur  mudah difunaka  csnya   ramah tamah ala dihubungi    terhadaun  jaya  bibit"
"436","Negatif",-1," orang yg  m r modal  tuh anvestasi terbaik  "
"437","Positif",1,"aang  bagus  investasi la"
"438","Positif",1,"bagus   belajar"
"439","Netral",0,"nice"
"440","Positif",1,"bagus"
"441","Positif",1,"keren"
"442","Netral",0,"trimakasi bibit"
"443","Netral",0,"   aasi bibit"
"444","Negatif",-4,"knrg  kali susah  login susah masuk loading  teteaasih susah login susah clear cache aasi jelek"
"445","Netral",0,"suka bgt"
"446","Netral",0,"mantappp"
"447","Netral",0,"easy"
"448","Netral",0,"semoga menguntungkan"
"449","Netral",0,"tolong  ditambahin  investasi k aana shoy   dana gak  tolong ya min ditambahin "
"450","Netral",0,"pakai kode referal  semangat nabungnnya â"
"451","Netral",0,"samsaat    "
"452","Netral",0," kode referal kadoku tananda k daan cashback  ðÿ"
"453","Positif",1,"   cash back  ribu silakan masukin refael lyupbf"
"454","Netral",0,"kalo     airan dananya ðÿ"
"455","Netral",0,"tingkatkan"
"456","Negatif",-1," susah log in"
"457","Positif",1,"bibit aman  teraya"
"458","Positif",1,"bagus"
"459","Positif",2,"drak mode   i  bagus"
"460","Positif",2,"pencairan dana ualan    ditingkatkan "
"461","Netral",0,"lancar berkah amiinn"
"462","Netral",0,"pengembangan lbh  "
"463","Positif",2,"samhari  it  tdk  masuk rekenin      keterangannya  terjual"
"464","Netral",0,"jos syekali"
"465","Netral",0,"keren sih   ngatur keuangan   i aasi  udah i  taamekatang  setia"
"466","Positif",1,"ayo bergabung daan keuntungan irrxq"
"467","Netral",0,"the best"
"468","Positif",1,"bibit oke banget"
"469","Netral",0,"ganggu kntl"
"470","Netral",0,"elian mudah  ceualan butuh  "
"471","Netral",0,"g g"
"472","Positif",1," bermanfaat"
"473","Netral",0,"tolong tambahkan verifikasi login   metode   metode sms  metode email  terdaftar  bibit"
"474","Netral",0,"goood"
"475","Netral",0,"cukumuaskan    belajar berinvestasi ðÿš"
"476","Negatif",-1,"jgn ragu berinvestasi bibit top"
"477","Netral",0,"semoga  delebih  yah"
"478","Netral",0," membantu "
"479","Positif",1,"aasi reksadana saham yg ng oke  tis cocok  bantu melek finansial  kaum milenial"
"480","Positif",1,"aasi nya cocok  laðÿ"
"481","Netral",0," udh seminggu aibit g   buka  layar h aja kna"
"482","Positif",10,"bagus tamn  sema    cocok    menyisihkan uang langsung i aasi bibit   jamin aman  nyaman  aasi   terdaftar  ojk  u ragu langsung aja ya dwonload daftar     mudah  mengerti  la cs  ramah tamah alhamdulillah  i  ah  kendala sih cuman aa airannya lumayan  tenang  aman  nyaman"
"483","Netral",0,"  ngaresa kaya"
"484","Positif",1,"semoga bibit  berkembang  damembimbing generasi muda   boros   uangbibit mantap"
"485","Negatif",-1,"silahkan download masukan kode referal  riyaninvestasi  daan cashback  langsung  saldomu"
"486","Netral",0," airannya"
"487","Netral",0,"semoga bonusnya "
"488","Netral",0,"semoga trus berkembang  menemani  sammenggatujuan"
"489","Positif",2,"bagus banget"
"490","Netral",0,"mantap"
"491","Netral",0,"masukkan referalgratiskode sud dabonus"
"492","Netral",0,"ok"
"493","Netral",0," dicairkan langsung  reksadana  simbol instananda simbol rnya"
"494","Positif",1,"kaga nambah tabungan reksa"
"495","Negatif",-1," luasukan kode referal nya ya dwfdcxf"
"496","Netral",0,"recomended dah"
"497","Positif",1,"assalamualaikum develoaasi bibit tolong kerja  la  aasi dana    a rekening bank  en investasi  aasi bibit  mikir mikir    a rekening bank  "
"498","Netral",0,"mantaps"
"499","Netral",0,"good"
"500","Positif",9,"  x mencairkan hasil invetasi tdk kunjung masuk  rekening  wlau  tdk  tan lumayan  cek  rekening  tdk  lan uang masuk   seminggu   mencairknnya develomohon bantuannya gimn ya   uang  gimn  akun bibit   ti cek direkening tdk  lan uang masuk"
"501","Netral",0,"yuk nabung  bibit  luake kode adbvcc âï"
"502","Positif",3,"bagus tingkatkan fiturnya saran   fitur dark mode nya "
"503","Positif",1,"terbaik "
"504","Netral",0,"ok"
"505","Netral",0,"penarikan seminggu gunanya  aplikasi   menit kontolll nih"
"506","Netral",0,""
"507","Netral",0,"berkembang investasi  "
"508","Netral",0,"mantakoknyaah"
"509","Positif",1,"menabung walausedikit sesuai kemam finansial  bebas santai  i target atautidak intinya   berusaha  menyisihkan keuangan  tujuan    rencanakan   "
"510","Netral",0,"joss mantabb ðÿðÿðÿ"
"511","Positif",1,"  tingkatkan  aja  bagus sih aslinyatlam lan lan ualan saham aja   m"
"512","Netral",0,"ok mantabit"
"513","Positif",1,"udah bagus  sayang investasi  terbatas  saham  cryaja tair    sederhana investasi  ga  han   s  maksimalin it harian benarâ menguntungkan  yg download  daftar cediverifikasi  mudah dimi  dilewatkan aasi cuan kayak gini"
"514","Netral",0,"nice"
"515","Netral",0,"hati hati"
"516","Positif",5,"keren aasinya bagus banget  ngejual reksa dana nya  cecuman   udah masuk  atm gokilll"
"517","Positif",1,"aasi yg simmemudahkan  fomula  belajar  cepat"
"518","Netral",0,"  ambil  cas      trimakasih bibit"
"519","Netral",0,"pencairan dananya cukuma"
"520","Positif",2,"ham  i bibit ngk  kendala   cs nya ceresketika      rekomendasi banget investasi  aasi bibit semoga  tambahan r nabung emas  ya"
"521","Positif",1,"bagus sayang klo  main  sbn    rek bca blom  rek bank "
"522","Positif",2,"aasi  bagus  bermanfaat"
"523","Netral",0,"mantaf  layananya"
"524","Netral",0," "
"525","Netral",0,"nice"
"526","Netral",0,"semoga nyata  bibit li dgn embangan ekonomi nasabah ðÿ"
"527","Positif",1,"   terbiasa ayo  berinvestasi  bibit  kode referral arbanget   dacashback  rb lohh cejangan tunggu   aja  yuk "
"528","Positif",1,"yuk investasi  bibit insya allah amanah masukin kode referal biar dauang tambahan kode ðÿ ððžðððžðððððžððððªðððšð "
"529","Positif",1,"nice awalaumasih la taener diarahin bgt    danotif  email  materi ser keuangan yg inya bermanfaat bgtt makasih  bibitðÿš"
"530","Netral",0," bilang  cs nya cs nya  sei bot  komr coba    bahasanya"
"531","Netral",0," modus dr aasi l "
"532","Positif",1,"bagus "
"533","Netral",0,"mantul"
"534","Negatif",-1,"kenaa ko  registrasi gabisa  udh  klik lanjutan "
"535","Netral",0,"sanggaaaaat bagusssss"
"536","Positif",1,"temanteman  dabonus cashback reksa dana bibit senilai r  unduh aasi  yuk i kode referral   nbo "
"537","Positif",3,"aasi terbaik  anak muda mudah dimi   aman  investasi oiyaa  luuys masukin kode  ambyarguys   dabonus rbðÿ"
"538","Positif",4," smart loginnya   mudah utk login ðÿƒ  berkalikali jual saham dana nya masuk rekening     yuk i kode refferal  gotajir lumayan  cashback   pas ue aasi  ga  login taetelah tutumakaian aasi  buka   login    web bibit   login  duit alhamdulillah aman ðÿ jngn lua gotajir"
"539","Negatif",-1,"aasi  berat jaringan g taag"
"540","Netral",0,"good inves app"
"541","Netral",0,"kode  ig"
"542","Netral",0,"samlama bgt lg butuh jga"
"543","Netral",0," beli saham langsung minus  ðÿ gak tetamangat ðÿª"
"544","Positif",2,"yth  bibit   terkendala masuk kedalam aasi tertulis aasi bibit   dibuka dingkat  mode debug   m   aang      atolong developer"
"545","Netral",0,"xzd "
"546","Netral",0,"mantap"
"547","Positif",1,"mantab"
"548","Netral",0," menarik"
"549","Positif",1,"semoga  konsisten"
"550","Positif",2,"bibit  bagusselama  aasi    cs nya  fast reselasanya  lumayan mudah  miayaran  yanan nya mudah  cepat"
"551","Netral",0,"nice"
"552","Negatif",-1,"bismillahirahmanirrahimsubhanallahumaihdinashirathalmustakim aamin ya allah alhamdulillahirrabul aalamiin"
"553","Negatif",-1,"males transaksi dibibit arian  adminnya leletjanganâ ani menipu"
"554","Positif",2,"rekomendasi banget"
"555","Netral",0,"masukan kode refferal  leveling  daan o cashback "
"556","Netral",0,"ðÿ"
"557","Positif",1,"bagus"
"558","Netral",0,"logokkk iku aihh "
"559","Positif",1,"semoga bagus"
"560","Positif",3,"bibit   aasinya bagusbanyak manfaat   ilmu   daanyang  suka aasi bibit  mudah  menggunakanyauntuk la  aasi   recomend     mudah     y  terjamin keamananyamenabung aman    investasi    dauntung "
"561","Positif",1,"aasi bagus  nabung   rajin"
"562","Positif",1,"bagus"
"563","Netral",0," coba   ama kali investasi"
"564","Positif",1," langsung uninstal aasinya  data adi dirubah sesuai ktp aja hrs u  acc adminnya  lucunya bahan data  tdk  acc   data adi  tdk  acc agi  nyangkut  uang  investasinya  dikit   acc  adminnya  isi blm  fingert kesimnnya    sdh   ribet"
"565","Netral",0,"turun   hihi"
"566","Positif",1,"aasi bagus han reksadana nya mudahan kedenya lbh  berbobot so far ok customer satisfaction  gercep"
"567","Positif",1,"bagus"
"568","Netral",0,"ok"
"569","Netral",0,"deecekilat wd secekura  aasi  bagus  merugikan bangsa"
"570","Netral",0," belajar berinvestasi ðÿðÿðÿðÿ"
"571","Netral",0," suka aasi "
"572","Netral",0," bermanfaatdan yanan cs  "
"573","Netral",0,"langsung instal aja  ragu aa simmudah dimi dabonus  klo  referal dms   rajin nabung berkat ani"
"574","Netral",0,"investasi  "
"575","Positif",1,"simdan aman"
"576","Netral",0," referalsaya   minat join  kode referal "
"577","Netral",0,"nice"
"578","Positif",1,"   fitur simkas saldo  malakukan transaksi han"
"579","Netral",0,"ok"
"580","Netral",0,"good"
"581","Positif",1," cobanga tau ah  bagus  investasi"
"582","Netral",0,"aasi yg berguna  nabung"
"583","Netral",0,"good apk"
"584","Positif",1,"bagus bit"
"585","Netral",0,""
"586","Netral",0,"yah   buka "
"587","Positif",2,"grafik anding kinerja  uk  ditawarkan  membantu investor  lihan uk sesuai  il resiko   individu"
"588","Positif",1,"download  aasi bibit  masukan kode referral  dmwcashback  daan cashback k  gratis ðÿ"
"589","Positif",1,"lumayan"
"590","Netral",0,"pakai kode referral lucky su  beruntung i dacashback"
"591","Positif",6,"  fitur  bibit mudah dimi anak mudah  lumayan lengkaran   kedeya bibit damenambahkan fitur menarik  damenguntungkan  investor berucashback tambahan   bibit  bagus kalo  fitur nabung emas su investor   o"
"592","Positif",1,"bagus"
"593","Netral",0,"oke"
"594","Positif",2,"bagus  investasi memudahkan"
"595","Netral",0,"bibit  the best"
"596","Netral",0,"nihil"
"597","Positif",1,"terbaik"
"598","Positif",1,"sukses"
"599","Positif",1," cocok    investasi la"
"600","Positif",1," bagus  kode referalkukangfani"
"601","Netral",0," bibit gak  dibukak"
"602","Netral",0,"goooood"
"603","Netral",0,"kenaasinya    dibuka tlng diaiki aasinya"
"604","Netral",0,"unistall"
"605","Positif",2," nyaman  es withdraw nya  det ce withdraw "
"606","Netral",0,"makasi"
"607","Positif",1,"semoga bibit  maju kedenya ðÿªðÿª"
"608","Netral",0,"oke"
"609","Netral",0,"force close"
"610","Netral",0,"top"
"611","Positif",1," kecewa total investasi  juta    jual uang  masuk cuman setengahnya jera  investasi online"
"612","Negatif",-1,"gada bahan saldo"
"613","Positif",2,"tambahkan produk uk pasar uang obligasi saham indeks syariah  channel    investasi emas  saham  negri"
"614","Netral",0,"tolong diaiki  loadingnya berat banget kayak buka game aja"
"615","Netral",0,"ok"
"616","Positif",1,"invest ayg   sukses "
"617","Netral",0,"asik"
"618","Netral",0,"mantap"
"619","Netral",0,"mudah  diosikan"
"620","Netral",0," kode referal ku reinarsk  daan cashback rb  ayo i kode ku  daan cashback nyaðÿðÿœÿ"
"621","Netral",0,"iya"
"622","Positif",1,"masak  nabung rutin metode ayaran nya  gojk  bank jgo  beli  k aja  males daftar bang jag gak masuk  turan maaf ya    menyingung beberaihak cuman sekedar masukan"
"623","Netral",0,"ksih  "
"624","Netral",0,"mantap"
"625","Netral",0,"ok"
"626","Netral",0," bgus"
"627","Netral",0,"  membant  berinvestasi menabung   semangat"
"628","Positif",2,"bagus banget"
"629","Negatif",-1,"linkaja      metode ayarannya ya maintenance  ham "
"630","Positif",1,"yok  untung amkxqx"
"631","Netral",0,"jos"
"632","Netral",0,"cs nya ramah  membantu    kesusahan ga ngartis kaya  aainya"
"633","Netral",0,"bagus  investor  awan sei  mahasiswa   tau"
"634","Netral",0," yg  daftar i code referal  "
"635","Positif",3," tamn  mudah  nyaman tantuk ualan  banget cairnya maaf    recommended"
"636","Netral",0," "
"637","Positif",2,"bermanfaat banget   yg la"
"638","Netral",0,"ok"
"639","Netral",0,"cukumple"
"640","Netral",0,"cukuik"
"641","Positif",1,"kode referal baguschan lumayan dacashback  coba aja"
"642","Positif",1,"lumayan mudah difahami"
"643","Positif",3,"penjualan reksadana  nominalnya  sei halnya ârb aja  dikirik  rekening agi kalo nominal  tdk amanah  aasi   ðÿ"
"644","Netral",0,"belajar nabung ok"
"645","Negatif",-1,"tolong tambahin metode login  pake no telekarna takut nomor tellang  lupa"
"646","Positif",2,"alhamdulillah  bibit   menabung  investasi lumayan  yg la"
"647","Netral",0,"ðÿ"
"648","Positif",2,"bagus banget"
"649","Netral",0,"bibit     merasakan  mudahnya nabung  bibit   nabung    beli reksadana"
"650","Netral",0,"iya yg  tiktok yg  kahuripan"
"651","Netral",0," la  mudah gunaannya"
"652","Positif",1," ualannya  banget"
"653","Negatif",-1,"infestasi asya keberatan  membikin foto selfi dngn ktpanda  membobol tekening sya"
"654","Netral",0,"  buka watsafsaja lg  belon mengerti tolong kasi tahuja"
"655","Positif",1,"y  stabil"
"656","Netral",0,"pencairan "
"657","Netral",0,"best"
"658","Positif",1,"bagus terverivikasi rekomended"
"659","Positif",1,"nyesel make bibitkalo transfer duit kerekening  banget masuknya"
"660","Netral",0,"  bilang bareksaajaibstockbitindo ier     aasi "
"661","Netral",0,"nabung dibibit  luasukin fererall rinnai  mendaan cashback k terimakasih"
"662","Netral",0,"aasii sangatt mantap"
"663","Positif",1,"bagus"
"664","Netral",0,"mantap"
"665","Netral",0,"ðÿ"
"666","Positif",1,"cocok  merencanakan  deyang  cemerlang"
"667","Netral",0,"si"
"668","Netral",0,"ok"
"669","Positif",1,"semoga  bagus bibit"
"670","Netral",0,"mantap"
"671","Netral",0," masi bocil gatau gunainnya  gue sembarang et   login   hakarena gatau gunain aasi "
"672","Positif",1,"semoga next  oinvestasi emas digital"
"673","Positif",1,"coba jual ofolio  uangnya gk masuk rekening alias hilang"
"674","Positif",1,"keren"
"675","Positif",1,"airan dana      "
"676","Positif",1," mendaan hadiah"
"677","Netral",0,"ok"
"678","Netral",0,"wort it"
"679","Positif",1," cocok  "
"680","Positif",1,"  ma  tarik saldoadmincs jarang meres"
"681","Netral",0,"  tertarik   investasi  bibit"
"682","Positif",1,"bagus"
"683","Positif",2,"sngaja sring masukkin dana trus d tarik  n kronologinya  d    ru abis  turun trus wkwk wek wek"
"684","Netral",0,"mantap"
"685","Netral",0,"yuk  kode referal  biar   dacashback k"
"686","Netral",0,"best investasi"
"687","Netral",0,"good"
"688","Netral",0,"ðÿðÿðÿðÿ"
"689","Positif",1,"aasinya bagus  taaya  uninstal aasinya mohon  lik aasi tolong data  dihadari  karna   berhenti"
"690","Netral",0,"mantap"
"691","Positif",1,"bagus investasi  bibit"
"692","Netral",0,"proses pencairan laamaaa"
"693","Netral",0,"good app"
"694","Positif",1,"bagus"
"695","Netral",0,"mantak nya"
"696","Negatif",-1,"semoga   transaksi   danaovo   ribet"
"697","Negatif",-1,"jelek"
"698","Netral",0,"nice uck"
"699","Positif",2," ditambah   investasi emas"
"700","Negatif",-1,"menyusahkan  login aja  ulit bgst"
"701","Netral",0,"bolehlahaku  belajar"
"702","Netral",0,""
"703","Netral",0,"thank you"
"704","Positif",3,"masukkan kode referral   aftaran ayogabungreksadana lumayan banget   dasaham gratis"
"705","Positif",1,"aasi keren ðÿ"
"706","Positif",3,"aasi bibit  recomend   la yg  investasi  menabung fitur  ani cebaik  mudah dimi semoga kualitas  diahankan  ditingkatkan  memuaskan konsumen"
"707","Netral",0,"good    cagw ngetik"
"708","Netral",0,"nice"
"709","Netral",0,"mudah  mi"
"710","Netral",0,"mantep"
"711","Positif",1,"aasi yg mudah    bermanfaat  investasi recommendddd"
"712","Netral",0,"aasi  memudahkan  berinvestasi maumenabung ya"
"713","Netral",0,"ðÿðÿðÿðÿðÿðÿðÿðÿšðÿš"
"714","Positif",2,"aasi bagus  mudah  fitur nya lengkan damudah dimiðÿðÿ"
"715","Netral",0,"   mencairkan dana ualan unit harganya berubah  alasannya yg aneh"
"716","Positif",3,"gak   taenaencairannya  banget sihh hadeuh its okay   airan instant tauma    reksadana doang edit  airan  lumayan cecuma   udah masuk gak sam "
"717","Netral",0,"smentara  msh ok"
"718","Positif",1," aasi nya  bagus  membantuwalauada beberaasalah  kendalaðÿ"
"719","Positif",1," aasi terbaik  investasi reksadana"
"720","Positif",4,"  kesini ualan nya   yah  nya  bca max   langsung masuk dihari kerja langsung masuk     dana bang jago  masuk ya dana sy      kacau klw lg butuh uang gmn "
"721","Positif",1,"kenaih  aering nongol  tana  undang  ga  klik bikin ganggu org  nonton youtube aja bikin kesel agi klo  karaokean  nongol bikin bad mod aja"
"722","Netral",0," membantu"
"723","Netral",0,"aasinya  membantu  mudah dimengerti  la"
"724","Positif",1,"mudah  jari  la   invest cs nya  ramah  bantu   kendala"
"725","Positif",1,"aasi ng berguna  ng bagus"
"726","Netral",0,"produk sbn     gak   udah terbit payah deh diue  ilang"
"727","Negatif",-1,"sdh i    lancar gk ad kndala omen ribet  airan  hrs tau klo es jual  beli   jadwalnya lbih dr jam   dies dihari  jual  kamis jam  dies jumat dn dana cair  selasarabu jgn hitung sabtu dn minggu be smart mi aturannya jgn  menilai dn menjelekan k "
"728","Positif",1,"aasi ya enteng bgt gak makan kuota  ruang banyakaasinya kerentamnnya oke  fiturnya  lengkaai bibit  menguntungkan   lancar  bertransaksi  investasi i bibitsaya  bangga i aasi bibit  salah  aasi investasi yg  menarik   bagus utk mendaan keuntungan yg    mudah utk mendaan itnya"
"729","Positif",2,"aasi yg  ramai  rekomendasikan utk  inta aasi onlineaku udh ngerasain gimana bagus  mudahnya berinvestasi i bibitaasinya oketamn menarikfitur lengkarta sistem yg  bagus  aasinya berjalan   lancar tanendalaaasi bibit  mengerti kebutuhan gunanya   mudah mendaan keuntungan yg   i bibit"
"730","Positif",1,"aasi   bagus   ladgn metode ayaran yg simdan amanterimakasih bibit"
"731","Positif",1,"bagus"
"732","Netral",0,"kode referal  fbdqyp "
"733","Positif",1,"aasi ya bagus  yg   belajar menabung fiturn chatnya  membantu fast resdan elasannya  lumayan mudah"
"734","Netral",0,"belajar reksadana  bibit aja"
"735","Negatif",-1,"aasi bagus  orang  susah nabung sei    aasi  alhamdulilah   menabung"
"736","Positif",1,"aang bagus  lancar"
"737","Positif",1,"bagus"
"738","Positif",1,"bagus si  teraya"
"739","Netral",0," terbantu   rekomended"
"740","Negatif",-1,"kadang kadang lemot"
"741","Netral",0,"blom  sih taumayan"
"742","Positif",1,"bismillah tumbuh  berkembang  bibit"
"743","Netral",0,"baguss bgtt"
"744","Netral",0,"the best laah"
"745","Netral",0,"good"
"746","Netral",0,"    investasi reksadana  bibit aja ui nya simdan mudah dimi guys"
"747","Netral",0,"aasi bagusfiturnya lengkandaftarnya  gk ribet cocok  lasei  memakai aasi bibit initoget"
"748","Positif",3,"aasinya bagus aftarannya   mudah  la  sei   terbukti aman   terawasi ojk  simdan memiliki daya tarik tersendiri"
"749","Netral",0,"aplikasi bungul uangku  nambah   tekurang bikin orang sangit aja  laporkan aja aplikasi bungul nih"
"750","Positif",1,"bagus  la"
"751","Positif",1,"aasi investasi   bagus  la sei   ribet   sim   cocok  la yg  belajar investasi semoga    fiturfitur  menarik terimakasih  membantu"
"752","Positif",1,"order  terjual taa masuk rekening h sih"
"753","Netral",0,"aasi terdebest"
"754","Positif",2,"aasi  memudahkan   berinvestasi   mudah  mengerti    memilih resakdana yg  inginkn"
"755","Netral",0,"ok"
"756","Positif",1,"rekomendasi bgt  nya to"
"757","Positif",1,"   diandalkan"
"758","Positif",2,"cocok banget  menabung"
"759","Netral",0,"baguss"
"760","Positif",1,"bagus"
"761","Positif",2,"aasi nya  mudah  aftarannya cocok banget   susah nabung kayak  nih bermanfaat"
"762","Netral",0,"ðÿ"
"763","Netral",0,"teminvestasi ygrecomended"
"764","Positif",3," es rikan butuh  seminggu  lu   investasi  reksa dana mending mikir  deh  dana lu    kelola manager investasi  uang lu   ngan  orang   bentuk unit ertaan    belikan saham tergantung resiko masingâ saran gue mending lu beli saham langsung noh  aasi ajaib sekuritas  lu  dadividen tiahun  lu    ng sahamnya  manager investasi yg gua  "
"765","Negatif",-1,"   dengar orang yg blg bibit jelek  krna mreka gk  edurnya  dah dri  i bibit  return ham teman pemula ayok  refferal  bibitmulfi dijamin teman teman langsung dsaldo cashback k  bsa lgsung investenak bget gak tuh langsung dsaldo k  teman ayok  sia siakan   invest  skarang bibit  cocok  invest jangka ang     aman  pemulaa"
"766","Positif",2,"kak  bibit dana  aman kah"
"767","Positif",1,"aasi  la   bermanfaat"
"768","Positif",3,"keren bagus banget"
"769","Netral",0," dftr  dana  gak ya"
"770","Netral",0,"aasi ama    terjun  dunia investasi memia dana tabungan   bertumbuh     an f  uangnya    eluaran     manfaatnya   simdi bibit deh serius bangun ofolio kekayaan   btw nitide reff rafifra      gabung   k cashback     gunain  elian uk reksadana   k"
"771","Netral",0,"mudah berinvestasi  bibit oke"
"772","Netral",0,"yuk i referral haya bwt dbonusny ok"
"773","Netral",0,"bibit sgt membantu investor la jd  melek investasi  giat toðÿ"
"774","Netral",0,"klo  metode ayarannya   kartu kredit"
"775","Positif",1,"   install   kode bejokoyo lumayan dacashback   mari  membantu biar cekaya"
"776","Positif",1,"resibility  melebihi cs  bank trimakasih  bantuannya"
"777","Positif",3,"aasinya  bagus  mudah   sayang  es konfirmasi elian sambeberaari   airan   diei  mante aasi ðÿ"
"778","Netral",0,"ok"
"779","Positif",1,"aasi terbaik  investasi uiux nya  frendly  la mudah   ðÿðÿ"
"780","Negatif",-1,"aya bagusscocok bgt  la mb nya  ga makan memori rekomen"
"781","Positif",1,"antuk belajar berinvestasi   lumayan ok"
"782","Netral",0,"gak  masukin referal"
"783","Netral",0,"generasi ar nabung  bibit"
"784","Netral",0,"top"
"785","Netral",0,"mantaukses "
"786","Netral",0,"aasi animau register aja susahgk  ðÿ"
"787","Netral",0,"mantap"
"788","Positif",1," bagus  investor la"
"789","Negatif",-1,"   ue taasi sulit dibuka kecewa"
"790","Positif",1,"bagus"
"791","Netral",0,"jan"
"792","Positif",1,"tolong tambahin uk investasi emas "
"793","Positif",1," cocok  investor la"
"794","Netral",0," suka  aasi iniðÿš"
"795","Positif",1,"bintang   dehsoalnya   nyoba"
"796","Netral",0,"ðÿœ"
"797","Netral",0,"mantap"
"798","Netral",0,""
"799","Netral",0,"good"
"800","Netral",0,"mantap"
"801","Positif",1,"fitur switching ak tolong diaiki     switch sei aebelah"
"802","Positif",2,"aasi nya bagus cocok  la   coba investasi"
"803","Negatif",-1,"no ribet deh"
"804","Negatif",-1,"aasi   membantu     asing  investasi  reksadana"
"805","Netral",0,"aokâan"
"806","Netral",0," "
"807","Positif",2,"aangat bagus  bermanfaat"
"808","Positif",1,"mantab"
"809","Netral",0,"belajar berinvestasi"
"810","Positif",1,"penarikan       proses     masuk  rekening"
"811","Netral",0,"mantap"
"812","Negatif",-2,"parahh sii es jual beli nya gak balance kalo beli esnya ga nyam detik kalo jual esnya amerharihari make sense sii kalo jualbeli barangfisik  nunggu diantar  dri temual  temrimasesuai jarak lahh  ngasih on k alasan utk jual  dana darurat     orang lgi ket bgt paham sii emang   etujuanconfirm  tani   kayaknya maaf  asumsi     benarðÿ"
"813","Netral",0,"mantabbb"
"814","Netral",0,"mantap"
"815","Netral",0,"josss"
"816","Positif",2,"semoga amanah  sukses   bibit"
"817","Netral",0,"aeren"
"818","Positif",1,"user friendly han reksadananya   au hasil investasi dg cebisa bikin goal finansial o lumayan so far ga da  dg aasi "
"819","Netral",0,"mantap"
"820","Negatif",-4,"kenauat sandi ya  salah  huruf  gak  udah     salah"
"821","Positif",2,"rentang  arian dana tabungan  rekening  lumayan  ce  imement ya bibit  imements  bidang keamanannya"
"822","Netral",0,"ok"
"823","Netral",0,"ok"
"824","Netral",0,"good"
"825","Netral",0,"belajar menabung"
"826","Netral",0,"mantas"
"827","Negatif",-1,"admin  gimana hp     adik tanengaja   akun bibit tanenonaktifkan bank jago ah   kena nggaran   coba login   gagal gimana solusinya min"
"828","Positif",1," banget airan nyh setaun  selesi"
"829","Positif",2,"costumer service  banget  ramah  situ   keamanan  sistem bibit smoga aja sistem bibit  selemah kominfoðÿ"
"830","Positif",1,"investasi mudah pelayanan ramah   tingkatkan orma   cukuik"
"831","Netral",0,"mudah membantu"
"832","Positif",2,"  tau anvestasi tayk bagus    kalo  dabonus tulis referral  ya qrv terima kasih kawanðÿœðÿ"
